user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
AtH2023_ERR1135212_MAG21	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1865;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1865;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002438075.1, s__UMGS1865 sp002438075, 95.0, 87.65, 0.376; GCA_963628215.1, s__UMGS1865 sp963628215, 95.0, 87.06, 0.376; GCA_900547725.1, s__UMGS1865 sp900547725, 95.0, 86.72, 0.359; GCA_934500855.1, s__UMGS1865 sp934500855, 95.0, 86.55, 0.16	90.73	11	0.99146	N/A
AtH2023_ERR1135259_MAG06	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	73.21	11	0.9731	N/A
AtH2023_ERR1135259_MAG10	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	67.53	11	0.94477	N/A
AtH2023_ERR1135259_MAG14	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	80.34	11	0.97252	N/A
AtH2023_ERR1135262_MAG02	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	91.52	11	0.94627	N/A
AtH2023_ERR1135262_MAG08	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	82.63	11	0.91008	N/A
AtH2023_ERR1135262_MAG18	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA2883;s__	N/A	N/A	N/A	N/A	N/A	GCA_023665105.1	95.0	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA2883;s__UBA2883 sp023665105	84.78	0.159	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA2883;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	94.68	11	0.96752	N/A
AtH2023_ERR1135298_MAG07	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_D;s__	N/A	N/A	N/A	N/A	N/A	GCF_022766795.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_D;s__Helicobacter_D sp022766795	87.62	0.394	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_D;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	81.39	11	0.97989	N/A
AtH2023_ERR1135361_MAG01	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	N/A	N/A	N/A	N/A	N/A	GCA_022786995.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp022786995	89.98	0.456	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_946011705.1, s__Faecousia sp946011705, 95.0, 89.14, 0.279; GCA_022786965.1, s__Faecousia sp022786965, 95.0, 86.62, 0.28; GCA_034113565.1, s__Faecousia sp034113565, 95.0, 85.67, 0.261; GCA_945948535.1, s__Faecousia sp945948535, 95.0, 85.44, 0.267; GCA_030539285.1, s__Faecousia sp030539285, 95.0, 85.4, 0.229; GCA_022775085.1, s__Faecousia sp022775085, 95.0, 85.36, 0.25; GCA_022772525.1, s__Faecousia sp022772525, 95.0, 85.04, 0.256	95.71	11	0.99692	N/A
AtH2023_ERR1135363_MAG01	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	88.78	11	0.98124	N/A
